,tweet
0,mrt jakarta pas pulang kerja vibesnya singapur bgt dah dan seneng bgt aku banya cewe cantik :)))))
1,"@srisury15517295 rencana di jakarta, di pacific place,  dulu waktu burn the stage movie, lumayan ga penuh2 amat, udh gitu bs pake mrt, ga ush nyetir macet2an??"
2,"@detikcom anak kecil juga tau. kami warga jakarta tidak butuh analisis beginian. kami butuh solusinya. misalnya percepat itu mrt tahap kedua, tahap ketiga; lrt dan seterusnya."
3,@rinisetioo untuk saat ini mrt jakarta beroperasi normal.
4,"lelah dengan macetnya jakarta, turun dari taksi trus pindah mrt. https://t.co/qqxteaokcb"
5,hati-hati ke mrt jakarta tar pecah lo.pecah berarti membeli.mrt indonesia keramik asli buatan tibet china yg ajib mahal getoh deh.megang mrt indonesia kudu hati2 soalnya import pake container punya jokowi.mrt lecet bisa pecah.
6,"selain #mudahkanharimu, naik transportasi umum seperti krl atau mrt jakarta memiliki benefit lain loh. yuk intip apa saja benefitnya!

#wikabeton
#mudahkanharimu https://t.co/0g5evzr4ir"
7,"ada sate kambing hingga penyetan surabaya di jalur mrt menelusuri jalur mrt di jakarta, anda akan menemukan banyak kuliner enak. salah satunya restoran legendaris yang tak jauh dari stasiun mrt. https://t.co/pyee78p49n"
8,"@annichadya mrt membantu inter jakarta, kita kan bukan jakarta :("
9,"@tubirfess kenape sekolahnya yg dihentikan? industrinya lah yg dihentikan. adain ""car free week"", di seluruh jakarta (tapi gratiskan tj, mrt, commuter line, dll)"
10,alhamdulillah mamahajiyettie tiasa nyobian mrt @ stasiun blok m - mrt jakarta https://t.co/koudhsczub
11,"@mpok_hanum kalo dari fs/studi mrt di jakarta jg gak mungkin utk dilakukan, moda transportasi apapun susah dilakukan kalo gak ada kemauan, gak ada moda transportasi yg jelek karena pelayanan ke masyarakat itu gak ada batasnya atau itungan untung rugi"
12,"@mrtjakarta dear mrt jakarta, apakah prosedur ketika penumpang akan masuk utk tap kartu harus diperiksa isi tasnya? krn itu membuat tdk nyaman dan jika sdg buru2 justru semakin memperlama waktu. hal ini saya temukan hny di stasiun fatmawati,"
13,"ayo poo ada yg mau ke jakarta gak sama aku, aku pengen nyoba mrt beneran ini?? maaf ya alay tapi aku pengen benerann??"
14,"#kom5 anton s 
@pdemokrat
 #jabar5: jangan2 lrt dan mrt kita belum ada regulasinya. karena pasti ada masalah perhubungan dgn mrt dan lrt. jangan2 rai link kita belum ada payung hukum yang kuat. negeri ini masih terus menambah jumlah mobil padahal jakarta sudah macet."
15,@wikidpr #kom5 anton s @pdemokrat #jabar5: jangan2 lrt dan mrt kita belum ada regulasinya. karena pasti ada masalah perhubungan dgn mrt dan lrt. jangan2 rai link kita belum ada payung hukum yang kuat. negeri ini masih terus menambah jumlah mobil padahal jakarta sudah macet.
16,"@unicornmnfs jakarta sentris emang, dikira semua orang perlu wajib tahu seluk beluk jakarta secara detail apa. padahal tinggal jawab kalau dari daerah mana enakan naik mrt, bus atau ojek online."
17,hal yang suka dari jakarta saat ini adalah transportasi seperti mrt dan lrt yang kini jadi wisata yang menarik untuk dikunjungi. #jusbuahtinggiserat https://t.co/kehbbhsxpw
18,"@lovejuiceid yang pasti jakarta byk tempat wisata yg keren seperti pantai ancol, kota tua, kampung kemang food festival, taman bambu, taman langsat dll. apalagi skrg ada lrt & mrt makin keren nih jakarta, tak lupa byk jg makanan khas-nya asinan betawi, taoge goreng.. love it ??"
19,"@lovejuiceid yang paling aku sukai dari jakarta adalah makanan khasnya ada kerak telor, soto betawi, asinan betawi., taoge goreng dll, tugu monas, masjid istiqlal yang ter besar di asean dan juga sekarang ada lrt, mrt dan bus transjakarta
apalagi sekarang banyak taman taman  di jakarta."
20,@lovejuiceid yg saya sukai dari jakarta saat ini adalah mrt nya yg baru diresmikan dan juga monasnya yg sudah kelihatan rapi dan bersih.
21,"semoga mrt jakarta yang skrg ini udah bagus semakin bagus kedepannya, jangan tbtb jadi kaya transjkt yg kadang suka gajelas bikin bingung penumpang nya teh kudu naonnnnn"
22,"@unicornmnfs darama lebih enak naik mrt aja ke blok a
kalo dari luar jakarta atau ga naik krl turun di st sudirman nanti lanjut mrt ke arah lebak bulus https://t.co/qcn7ba6nv9"
23,"siti badriah bangga mrt ada di jakarta
https://t.co/k39ldiwe3d https://t.co/yatj6xh5lh"
24,"kalo lagi jalan2 seneng gitu jalan di trotoarnya bagus, banyak orang lain juga jalan, naik mrt, kaya keren banget, seneng di jakarta udah ada mrt, bentar lagi lrt, semoga bisa segera ke kota2 lain, biar lebih gampang ke jakarta kalo kaga pake mobil, biar gw kaga males ??"
25,"coba liat video lrt mrt di youtube, keren, pas gw ke jakarta naik mrt pas uji coba, bagus, trotoarnya rapi, dulu pas ke sekolah naik tj, trotoarnya lebih bagus dari sisi lain jakarta sih, cuma lebih rapi sekarang dan sampahnya juga lebih sedikit wkwkwk"
26,"makanya karena mereka belajar balik dari jakarta, mereka punya proyek reaktivasi jalur trem jadi standar commline dan pembangunan metro/mrt"
27,@lovejuiceid sekarang jakarta makin maju dan transportasi makin lengkap apalagi sekarang punya mrt dan semakin gak mau kalah dari negara lain
28,"cobain rasanya naik mrt jakarta, transportasi murah, cepat & aman nih guys..??????
https://t.co/3ogtfabhkw

#mrtjakarta #mrt #vlogger #vlogging #youtuber #mrt2019 #minggu #sabtu https://t.co/shbh4u5zas"
29,"enak ya tinggal di jakarta...
.
bisa naik mrt."
30,"glenn fredly dan tompi hibur penumpang mrt di stasiun bundaran hi, jakarta.

 #glennfredly #tompi #mrt https://t.co/knjy7ij93p"
31,"the highest mrt jakarta station on the ground.

ini stasiun mrt tinggi bat coy, turun naiknya bisa pegel dah pasti wkwk. stasiunnya letaknya di atas jalan tol, dan disini kalo pagi-pagi, kita bisa ngeliat matahari terbit yang indah. cobain deh kesini wkwk. https://t.co/683q2fbcq1"
32,@danisahman ohhh begitu. enak lah naik mrt terus. jakarta mana boy
33,"gua juga sedih min, temen temen the jak yg laen gabisa dateng juga untuk nonton langsung match ini, gua juga rindu persib maen di gbk, tapi dia sombong skrng gamau maen di gbk, padahal jakarta uda ada mrt sama lrt wkwk https://t.co/tinvv5kdpv"
34,"mrt jakarta, ketepatan waktunya mencapai 99,9 persen  https://t.co/zi2w2pm6cr https://t.co/cqql4y3zke"
35,pengen naik mrt jakarta
36,"udah.. yg ada dulu disempurnain.. jalur lrt melingkari jakarta, mrt dr timur ke selatan tambah di kota2 besar kayak surabaya, belom lagi daerah wisata. https://t.co/lymmorcs5j"
37,pencapaian jumlah penumpang itu menjadi tertinggi sejak diberlakukan tarif normal https://t.co/2mdfef4tgb
38,"capek muter2 di blok m, terus makan, lanjut naik mrt ke arah senayan. 
sampai di senayan baru anak saya bilang :""nah, ini jakarta.""
dan kami semua pun tertawa terbahak-bahak."
39,"jarang2 berani mengatur meeting di 3 tempat di jakarta dalam sehari. tapi karena semua lokasi dekat jalur mrt, jadi berani ??"
40,"pakai cara baru. sekarang kalau harus terbang, khususnya di hari2 kerja saat lalu lintas jakarta ngga kenal waktu2 macet, maka dari rumah diantar motor ke senayan (dekat, 5 menitan), mrt, krl bandara. mutar, tapi nyaman dan ngga terpengaruh lalu lintas."
41,"transportasi yang ada di dki jakarta dinilai sudah cukup lengkap, mulai dari mikrolet, bus transjakarta, krl hingga mrt. https://t.co/byuef0nfih"
42,"keren banget ya jakarta skrg. mrt, lrt, bus listrik."
43,"jakarta punya mrt, siti badriah: dulu cuma lihat di luar negeri https://t.co/bbaiuuvjuq https://t.co/2cvjfh5xqk"
44,seneng juga sih ngeliat perkembangan jakarta! dulu jaman sma sering ke terminal blok m buat naik 74 dan ituu ya agak buruk sih ?? sekarang bnr2 udah deket stasiun mrt jadi fancy dan metromini juga udah jadi minitrans yang harusnya supirnya less ugal2an..
45,jalan-jalan di jakarta selatan semenjak ada mrt emang jadi lebih menyenangkan.
46,"dari hi masuk subway trus naek mrt berasa kyk new york, pas turun di lebak bulus berasa pen tereak ""anjeeng jakarta lagi jakarta lagi"""
47,@amymedusaa intrigued siot nak pi jakarta tapi dgr macet mcm haremm aku seram nak pi. member ramai je keje sana gak. mrt dia tu dh siap kan? convenient tak naik tu nak pi places of interest?
48,seharian keliling jakarta dengan mrt dan transjakarta rasanya ingin copot kaki saja
49,"ke ennichisai tp gasempet foto. jauh2 ke sono tapi makannya jajanan carefour. naek mrt yg rame bing bing, gagal naek bis city tour karena ngantrinya panjang banget akhirnya kami makan lesehan di deket stasiun jakarta kota. kepala udah pusing karena tj dan kaki mau copot ??? https://t.co/pujpm7dud0"
50,embargo minyak akan mendorong tiongkok membangun infrastruktur dan kereta api super cepat. kereta api super cepat dan mrt jakarta connect maka bye bye plane jadi coffee cafe menu nasi goreng. ada tulisan: ini menyangkut kedaulatan negara. damai itu indah.
51,"kalau toh surabaya mau bikin transportasi rel kayak lrt/mrt, ya susah juga. duitnya itu lho. lrt/mrt di jakarta aja udh berat banget pembiayaannya, dan toh kalaupun jadi belum tentu orang surabaya mau pakai mengingat harganya bakal mahal."
52,ada suasana berbeda di stasiun mrt dukuh atas saat perayaan hut dki jakarta ke-492. #wajahbarujakarta https://t.co/mxluj6xa7p
53,ada yg mau ikut nyoba mrt & lrt bareng? posisi gue di jakarta timur. nyari temen dripada sendirian. soalnya belum pernah nyoba 2 armada baru itu
54,"@mrtjakarta katanya dulu ini biang banjirnya jakarta, trus semalem bilangny mrt pemersatu warga jakarta bukan cuma sbagai pemindah tubuh ke tempat lain ????????"
55,@bucinkochengg ke jakarta aja wa blm pernah naik mrt
56,"walau tentu saja masih banyak kekacauan di sana-sini yg membuat kita mengutuk habis-habisan, harus diakui, pada ulang tahunnya yang ke-492 ini, jakarta sudah tak sama lagi https://t.co/kbhbsiyecb"
57,masi gak ngerti knp teknologi yg digunakan di gate tap in tap out mrt jakarta jelek banget. proses scan lambat sering error pula.
58,"@orenbarat kasian ndan,  mereka belom liat jakarta yang baru.. yg udah ada mrt,lrt, monas makin menawan, eeh"
59,lrt jakarta yang seharusnya lebih kecil dan daya angkutnya lebih ringan memiliki lebar rel yang lebih besar daripada mrt. (1435 mm>1067 mm). semua terserah yang teken kontrak~
60,"wajah baru jakarta adalah dengan hadirnya mrt (mass rapid transit) yg telah hadir di jakarta

#hutjakarta492 
#jkt492 
#wajahbarujakarta https://t.co/gnhlp2sjde"
61,jakarta skarang udah maju ga perlulah kita ke singapura atau jepang krena kini ada mrt dengan rel terpadu menghubungi jalur jalur di kota mengurangi macet dan rupiah tidak lari kluar negeri?? https://t.co/yurtsyboqq
62,"kok rasanya agak sedih gimana gitu, udah pernah naek mrt di singapura, giliran jakarta udah punya malah belum pernah naik samsek :â"
63,"lihat jpo2 semakin cantik, trotoar buat pejalan kaki semakin kece, jakarta sekarang tampaknya sudah seperti kota2 dunia yg berpihak kepada pejalan kaki, walau gua kemana2 enakan naik motor haha. ok trip - busway  - mrt - lrt - commuter line, grab gojek, integrasi yg ciamik sih."
64,"rindu banget dgn jakarta dan segala kemajemukannya, rindu tiap hari naik tj,krl,mrt. jajan cilok,cireng,cimol,makan ketoprak,kerak telor dll. 
ah.. jakarta, kota yg rada sumpek tp ngangenin.
semoga tambah maju dibawah kepemimpinan pak @aniesbaswedan insyaa allah comeback soon. ?? https://t.co/mlm8y5vszd"
65,"buat gw, yang udah pernah nyobain transportasi massal di hk, jepang, singapur dan korea, seneng dan bangga jakarta udah punya mrt ??
kualitas sarana dan prasarana bagus, tepat waktu. tapi.."
66,"jadi hari ini gue naik mrt, tp lupa kalo hari ini ultah jakarta. alhasil kejebak sampe jam 11. :)))) https://t.co/qaagdnbzk5"
67,"terimakasih @yemimasr dan amar sudah mau menemani malam minggu gua dan nyobain mrt,  hbd jakarta maap telat https://t.co/6xyksesnef"
68,"kerandoman hari ini, pagi tadi dari kosan ke bunderan hi buat ikut training volunteer sampe jam 2 siang terus balik lagi ke kosan. jam 5 sore ke bunderan hi lagi buat ngeliat acara ultah jakarta naik tj terus nyambung mrt, disana dari jam 8 sampe 11 terus ke kosn lagi naik krl :)"
69,mrt jakarta bagus bgt.
70,"hut jakarta is amazyng.. mrt yg biasanya macam kereta hantu jam segini, tiba2 ruwwame. untung bkn jombi isinya :')"
71,"pembelajaran hari ini: kalo di jakarta dan pake transportasi umum, udah harus tau pulang jam berapa dan jadwal semua transportasinya. terus harus siap-siap ke-unpredictable-an seperti mau ke mrt haji nawi malah diputerin sama mamang grab ke mrt fatmawati :("
72,"selamat ulang tahun kotaku jakarta yang ke 492. semakin maju,tertib,indah dan mensejahterakan warganya. jakarta yang semakin asik dengan mrt,fasilitas umum tempat terbuka,tempat olahraga yang nyaman membuat wargaâ¦ https://t.co/bxrd4fgtay"
73,"pantes stasiun mrt rame. ada hut jakarta di bundaran hi, festival jepang-jepangan, dan meranoia di istora. ntap."
74,"tadi jalan-jalan naik mrt iseng mau mall hoping, ternyata ada jakarta night festival di hi buat hut jakarta. dengan bloonnya kirain cfd hehe https://t.co/cqzxt118lb"
75,pengen ke jakarta pngen naik mrt :(
76,".
.
h+2 lebaran. ??
.
pertama kalinya nyobain mrt di jakarta, karena baru sempet. ??
.
di stasiun mrt-nya sepi-sepi aja dari senayan, tapi kenyataannya didalam mrt penuh banget. ??
.
senayan -> blok m cuma 3 menitâ¦ https://t.co/9iqkgmozgi"
77,"pengen naik busway, pengen naik mrt, pengen cfd an lagi, pengen main ke planetarium sama ragunan juga dong:"" 
rindu sekali sama suasana jakarta yg gak pernah sepi"
78,"belum pernah nyoba trans jakarta, mrt, lrt baru :("
79,"@zulfachrikatsir tibe tibe jadi warga jakarta, budak budak mrt nih"
80,warga pilih shalat di mushalla mrt saat perayaan hut jakarta https://t.co/ov1qndrhvg
81,"selamat ulangtahunkota jakarta ke-492.semoga semua permasalahan jakarta segera terselesaikantata kota serta pelayanan publik lebih baik,keamanan kota tetap terjaga,dan lrt,mrt,dan commuter line,transportasi modern tsb bisa mengurangi kemacetan . #hutjakarta492  #hutdkijakarta https://t.co/l9474vjcaf"
82,@bachtiargp naik mrt keliling jakarta sampe subuh
83,"selamat ulang jakarta!
semoga tak pernah lelah menjadi ibukota indonesia.
â¢
â¢
â¢
â¢
â¢
â¢
â¢
dan terima kasih untuk mrt nya.

#jakarta492 #capitalcity #neversleepcity #mrtjakarta #cyberpunk @ jakarta https://t.co/706am6xwoq"
84,"makasi ya pap udh book makeupbyath kl gak gue hr ini gaakan keluar rumah, makan kimukatsu, beli bulu mata, naik mrt, merayakan ulang tahun jakarta, dan makan boba toast benedict?????????? #testimoni https://t.co/9mxdluqmwl"
85,mrt jadi pilihan ke tempat perayaan hut jakarta untuk menghindari macet. https://t.co/onfng67doc
86,knp ya mrt jakarta skrg kyk bau kambing gt?
87,"heran deh ini mrt kan udah kira-kira 2 bulan lebih beroperasi ya. kenapa orang-orang jakarta masih pada mengular antri single trip ticket di stasiun-stasiun? kenapa gak pada punya kartu e-money dari bank yang cara dapetinnya gampang?
#mrtjakarta #jakarta492"
88,"berhubung hi di tutup akhirnya naik mrt n untuk pertama kalinya nyobain mr, di hi bisa carr free night mlm ini @ mrt jakarta https://t.co/tah1mwn8x4"
89,ada yang tau gak malem ini rame gak sih mrt jakarta? @mrtjakarta suasana terkini donggg thanks
90,"selamat ulang tahun jakarta
kurang kurangin rusuhnya
keren lho akhirnya kamu punya mrt
mantap! teruskan!"
91,"dapet voucher kereta, hotel, sama pesawat. terus sampe sini busway, mrt, krl lagi gratis karena ulang tahun jakarta."
92,"#wajahbarujakarta

mrt dan lrt  ahok dan jokowi  buat jakarta baru makin modern"
93,warga jakarta berbondong-bondong mengedukasi diri naik mrt ??
94,mo bkin ads trainee di mrt jakarta hahahahaha ide nya adik2 jaman now luar biasa ketawa gw bayanginnya ??????
95,"@manusiaearth ada beberapa booth yang ngasih merchandise gratis, misal booth mrt jakarta (kipas & pin/stiker) dan booth bank partner (bni, bri) untuk pembuatan kartu kredit.

yang di foto ini sih kebanyakan dari bank. haha"
96,"back to jakarta again, kota yg paling beda sama kota lain. senorak noraknnya pgn nyobain mrt. kmrin waktu disana blm jadi"
97,"dirgahayu 492 th jakarta. jakarta akan tetap jakarta walaupun pusat pemerintahan baru nanti dibangun di palangkaraya. jakarta hari ini sudah jauh lebih modern, asal jangan diacak-acak dgn visi yg ng jelas. setelah mrt, tak lama lagi akan menikmati moda transportasi lrt jabobek."
98,"??naek mrt ke tengah kota.
dirgahayu dki jakarta??.
semoga terwujudnya wajah baru jakarta yang modern dan berbudaya luhur. 
maju kotanya! bahagia warganya! https://t.co/9ivvptjzpc"
99,"balik ke jakarta harus naik mrt, ke perpusnas, ke dufan, kemana aja sampe tabunganku habis. 
ga deng."
100,@_nabilafira_ oooowww. good luck yah adeknya fira. moga2 keterima~ udah diajak keliling2 naek mrt belom? dari kemaren banyak org wisata ke jakarta buat nyobain naik mrt~
101,"dirgahayu 492 thn dki jakarta, sekarang jakarta punya mrt lrt terima kasih gubernur ahok @basuki_btp #hutjakarta492"
102,"pgn ke jakarta naik mrt :"")"
103,"nyobain mrt atau lrt ga perlu jauh2 ke negeri tetangga

#id #mrtjakarta #lrtjakarta #velodrome #kgstation #proudtobeindonesian @ dki jakarta https://t.co/kntaegolef"
104,@kakashi_san1189 mrt jakarta beroperasi normal
105,@dkijakarta oh ya sama mrt jakarta! beberapa kali diuntungkan dengan kehadiran @mrtjakarta  untuk menerjang kemacetan. dulu yang sering telat kalau janjian sekarang beberapa kali sampai pertama ??
106,"@mrtjakarta hallo selamat siang, apakah hari ini mrt akan beroperasi seperti biasa terutama di stasiun bundaran hi? khususnya sore nanti saat perayaan ultah jakarta"
107,dirgahayu kota jakarta ke 492. transjakarta gratis neh...mrt gratis gk ya? ?????? https://t.co/r2btrsvy8z
108,"selamat berulang tahun kota kelahiran ku?

ini beberapa momentku kemarin naik mrt hihi. trimakasih para pemimpin dki jakarta yg sudah membuat ibu kota negara kita semakin maju setiap tahunnya??????
#hutjakarta492 #hutjakarta #hutdkijakarta https://t.co/ey0gqjxcns"
109,"coba klo ada pacar disini, uda pasti gue ajakin muter-muter seluruh museum jakarta sambil naik mrt dan transjakarta gratisan lanjut malming di prj kemayoran makan bedua. uwoo mantap kali kaaan...

mantap kali khayalannya :v
#hutjakarta492"
110,"lahir, sekolah, kuliah, kerja...disana (jaksel - jakpus - jakut - jakbar hehe..cm jaktim belum) tp ga ngerasain gojek sama mrt yg udah ada... hmm pngen tinggal di jkt lg sih ada ^^ mungkin tunggu ganti gubernur x ya ???? semakin aman dan nyaman ya jakarta ?? #hutjakarta492 ??"
111,selamat ulang tahun jakarta! terimakasih transjakarta dan mrt gratisnya??
112,"okay gue baru tau hari ini mrt gratis karena ulang taun jakarta, tapi gue terlanjur janjian sama @renata_blue19 sekeluarga hari ini ok doain gue baik-baik ya"
113,"selamat ulang tahun ibu kota! senengnya hari ini naik transjakarta pun metrotrans gratiss, lrt jg masih uji coba gratis, mrt jg gratis ga ya? nanti malem jg ada jakarta night festival di jantung kota.. so hv a blast wiken??????"
114,"mumpung ke jakarta, mau naik mrt, norak bat dah gua https://t.co/b1u0kolevc"
115,"mrt blom nyobaim, lrt udah ada mulai aja.

apakah aku orang jakarta?"
116,"@pt_transjakarta mumpung lagi ultah jakarta, usul dong min, halte csw koridor 13 dioperasikan, jadi kalo mau naik mrt gak perlu ikut muter ke tendean - blok m ??"
117,ultah jakarta gak ada yang gratisan gitu baik dari transportasi kayak mrt atau transjakarta sama tempat liburannya wahai bapak gubernur @aniesbaswedan ???
118,fbb rec tempat ngopi jakarta yang deket krl/mrt yang sepi dong thanksss
119,"oiya btw lrt jakarta tuh emang bener2 versi kecil dari segalanya di mrt. termasuk eskalatornya yang muat buat 1,5 orang ??"
120,"@drhaltekehalte terima kasih. bertambah lagi referensi tahu campur di jakarta buat âtombo kangenâ. sudah nyobain tahu campurnya cuma sayang sudah kehabisan tahu tek telur. memang betul, lebih cepat sampai lokasi dengan keluar stasiun mrt fatmawati di exit c daripada exit d. #darihaltekehalte ?? https://t.co/i6nshdnely"
121,@babycioo sksksk pengen nyoba mrt jakarta ????
122,aku pulang naik mrt xixi berasa nax jakarta sekaly https://t.co/ujoohwgxam
123,"kira2 pemandangannya seperti ini guys di lt 24

btw itu polusi ya bukan kabut
ayo pake transportasi umum wahai warga jakarta, udah enak juga ada transjakarta, mrt, lrt, krl :( warga depok cant relate

cr: yg fotonya bagus berarti pake hp koy https://t.co/r6ypxtjawt"
124,"feelin this japan vibes already di mrt jakarta, dengan penumpang yg memang menggunakannya bukan untuk rekreasi lol https://t.co/f9ybdo1u5q"
125,ratusan orang padati stasiun mrt dukuh atas serta terowongan kendal menyaksikan parade drum band asal inggris uk millitary musicians memperingati hut kota jakarta ke-492 pada sabtu (22/6). (bak) #elshintaedisimalam https://t.co/uraew6giep
126,jakarta butuh tempat penitipan sepeda di stasiun mrt dan transjakarta https://t.co/hoqmzhbhaw
127,"kan w bilang ke mak mau keliling jakarta naek mrt, trs doi bolein, trs w tanya ntar kalo ilang gimana, doi ngegas ngomong ""palingan minta jemput"" 

i mean, wheres the lie ?? maaf y mak anakmu masih teledor"
128,@nfahmiwildans bandung jakarta cuedek poll. opomane maringene onok mrt. hmm ??
129,"nggak kayak mrt bunderan hi - lebak bulus yg heboh. nyobain @lrtjkt yg masih gratis ini cenderung sepi. mungkin karena lokasi klp gading itu agak nggak familiar sama org2 jakarta, atau memang lagi weekdays aja. tadi isinya ya ada ibu2 sama anaknya, opa2 dan oma ajak jalan cucu"
130,"kalau ngga kesampaian ke taman safari, pengen muterin jakarta aja keliling pake mrt sampai kotu, terus duduk dan jajan di taman kali besar itu sambil foto2 dan cerita lucu. pengen. banget. sm pacar??"
131,"mrt jakarta masih jadi transportasi primadona buat orang jakarta maupun luar jakarta. banyak yang sengaja datang hanya untuk punya pengalaman baru. saya, keluarga, saudara dan teman2 pun ga mau ketinggalan..â¦ https://t.co/rumzbmcaba"
132,"baru engeh ternyata pekerjaan proyek--yang selalu bikin macet--di jalan tol jakarta -  cikampek itu, jalur tol layang, nah kirain buat jalur mrt/lrt wqwq 

https://t.co/93iibl3vmr"
133,"@tubirfess tunggu beberapa tahun kemudian, kalo mrt dan lrt dah banyak. dan didukung warga jakarta juga mau apa enggaknya make 2 fasilitas tsb. klo gamau yaa percuma, tetep jadi kota berpolusi sedunia."
134,"@restudewi_ ulang taun dki jakarta mba, klo naik mrt masih bisa koo"
135,"nail mrt di jakarta, berasa turis di kota sendiri. ini semua karena pacar saya:)"
