,tweet
0,mrt jakarta pas pulang kerja vibesnya singapur bgt dah seneng bgt banya cewe cantik
1,rencana jakarta pacific place burn the stage movie lumayan tidak_penuh udh gitu bs pake mrt tidak_ush nyetir macet an
2,anak tau warga jakarta tidak_butuh analisis butuh solusinya percepat mrt tahap tahap ketiga lrt
3,mrt jakarta beroperasi normal
4,lelah macetnya jakarta turun taksi trus pindah mrt
5,hati hati mrt jakarta tar pecah lo pecah membeli mrt indonesia keramik asli buatan tibet china ajib mahal getoh deh megang mrt indonesia kudu hati import pake container jokowi mrt lecet pecah
6,transportasi krl mrt jakarta memiliki benefit loh yuk intip benefitnya
7,sate kambing penyetan surabaya jalur mrt menelusuri jalur mrt jakarta menemukan kuliner enak salah satunya restoran legendaris stasiun mrt
8,mrt membantu inter jakarta jakarta
9,kenape sekolahnya dihentikan industrinya dihentikan adain car free week jakarta gratiskan tj mrt commuter line dll
10,alhamdulillah mamahajiyettie tiasa nyobian mrt stasiun blok m mrt jakarta
11,hanum kalo fs studi mrt jakarta jg tidak_mungkin utk moda transportasi apapun susah kalo tidak_ada kemauan tidak_ada moda transportasi jelek pelayanan masyarakat tidak_ada batasnya itungan untung rugi
12,dear mrt jakarta prosedur penumpang masuk utk tap kartu diperiksa isi tasnya krn tidak_nyaman sdg buru memperlama temukan hny stasiun fatmawati
13,ayo poo jakarta tidak_sama pengen nyoba mrt beneran maaf ya alay pengen benerann
14,anton s lrt mrt belum_ada regulasinya perhubungan dgn mrt lrt rai link belum_ada payung hukum kuat negeri menambah mobil jakarta macet
15,anton s lrt mrt belum_ada regulasinya perhubungan dgn mrt lrt rai link belum_ada payung hukum kuat negeri menambah mobil jakarta macet
16,jakarta sentris emang orang wajib seluk beluk jakarta detail tinggal daerah enakan mrt bus ojek online
17,suka jakarta transportasi mrt lrt wisata menarik dikunjungi
18,jakarta byk wisata keren pantai ancol kota tua kampung kemang food festival taman bambu taman langsat dll skrg lrt mrt keren nih jakarta lupa byk jg makanan khas nya asinan betawi taoge goreng love it
19,sukai jakarta makanan khasnya kerak telor soto betawi asinan betawi taoge goreng dll tugu monas masjid istiqlal ter asean lrt mrt bus transjakarta taman taman jakarta
20,sukai jakarta mrt nya diresmikan monasnya rapi bersih
21,semoga mrt jakarta skrg udah bagus bagus kedepannya tbtb kaya transjkt kadang suka gajelas bikin bingung penumpang nya teh kudu naonnnnn
22,darama enak mrt aja blok a kalo jakarta tidak_naik krl turun st sudirman mrt arah lebak bulus
23,siti badriah bangga mrt jakarta
24,kalo jalan seneng gitu jalan trotoarnya bagus orang jalan mrt kaya keren banget seneng jakarta udah mrt bentar lrt semoga kota biar gampang jakarta kalo kaga pake mobil biar gw kaga males
25,coba liat video lrt mrt youtube keren pas gw jakarta mrt pas uji coba bagus trotoarnya rapi pas sekolah tj trotoarnya bagus sisi jakarta sih rapi sampahnya wkwkwk
26,belajar jakarta proyek reaktivasi jalur trem standar commline pembangunan metro mrt
27,jakarta maju transportasi lengkap mrt tidak_mau kalah negara
28,cobain mrt jakarta transportasi murah cepat aman nih guys
29,enak ya tinggal jakarta mrt
30,glenn fredly tompi hibur penumpang mrt stasiun bundaran hi jakarta
31,the highest mrt jakarta station on the ground stasiun mrt bat coy turun naiknya pegel dah wkwk stasiunnya letaknya jalan tol kalo pagi pagi ngeliat matahari terbit indah cobain deh kesini wkwk
32,ohhh enak mrt jakarta boy
33,gua sedih min temen temen the jak laen gabisa dateng nonton langsung match gua rindu persib maen gbk sombong skrng gamau maen gbk jakarta uda mrt lrt wkwk
34,mrt jakarta ketepatan mencapai persen
35,pengen mrt jakarta
36,udah disempurnain jalur lrt melingkari jakarta mrt dr timur selatan kota kayak surabaya belom daerah wisata
37,pencapaian penumpang tertinggi diberlakukan tarif normal
38,capek muter blok m makan mrt arah senayan senayan anak bilang jakarta tertawa terbahak bahak
39,jarang berani mengatur meeting jakarta sehari lokasi jalur mrt berani
40,pakai terbang kerja lintas jakarta tidak_kenal macet rumah diantar motor senayan menitan mrt krl bandara mutar nyaman tidak_terpengaruh lintas
41,transportasi dki jakarta dinilai lengkap mikrolet bus transjakarta krl mrt
42,keren banget ya jakarta skrg mrt lrt bus listrik
43,jakarta mrt siti badriah lihat negeri
44,seneng sih ngeliat perkembangan jakarta jaman sma terminal blok m ituu ya buruk sih bnr udah deket stasiun mrt fancy metromini udah minitrans supirnya less ugal an
