,tweet
0,mrt jakarta pas pulang kerja vibesnya singapur bgt dah dan seneng bgt aku banya cewe cantik 
1, rencana di jakarta di pacific place dulu waktu burn the stage movie lumayan tidak_penuh amat udh gitu bs pake mrt tidak_ush nyetir macet an 
2, anak kecil juga tau kami warga jakarta tidak_butuh analisis beginian kami butuh solusinya misalnya percepat itu mrt tahap kedua tahap ketiga lrt dan seterusnya 
3, untuk saat ini mrt jakarta beroperasi normal 
4,lelah dengan macetnya jakarta turun dari taksi trus pindah mrt 
5,hati hati ke mrt jakarta tar pecah lo pecah berarti membeli mrt indonesia keramik asli buatan tibet china yg ajib mahal getoh deh megang mrt indonesia kudu hati soalnya import pake container punya jokowi mrt lecet bisa pecah 
6,selain naik transportasi umum seperti krl atau mrt jakarta memiliki benefit lain loh yuk intip apa saja benefitnya 
7,ada sate kambing hingga penyetan surabaya di jalur mrt menelusuri jalur mrt di jakarta anda akan menemukan banyak kuliner enak salah satunya restoran legendaris yang tak jauh dari stasiun mrt 
8, mrt membantu inter jakarta kita kan bukan jakarta 
9, kenape sekolahnya yg dihentikan industrinya lah yg dihentikan adain car free week di seluruh jakarta tapi gratiskan tj mrt commuter line dll 
10,alhamdulillah mamahajiyettie tiasa nyobian mrt stasiun blok m mrt jakarta 
11, hanum kalo dari fs studi mrt di jakarta jg tidak_mungkin utk dilakukan moda transportasi apapun susah dilakukan kalo tidak_ada kemauan tidak_ada moda transportasi yg jelek karena pelayanan ke masyarakat itu tidak_ada batasnya atau itungan untung rugi
12, dear mrt jakarta apakah prosedur ketika penumpang akan masuk utk tap kartu harus diperiksa isi tasnya krn itu membuat tidak_nyaman dan jika sdg buru justru semakin memperlama waktu hal ini saya temukan hny di stasiun fatmawati 
13,ayo poo ada yg mau ke jakarta tidak_sama aku aku pengen nyoba mrt beneran ini maaf ya alay tapi aku pengen benerann 
14, anton s jangan lrt dan mrt kita belum_ada regulasinya karena pasti ada masalah perhubungan dgn mrt dan lrt jangan rai link kita belum_ada payung hukum yang kuat negeri ini masih terus menambah jumlah mobil padahal jakarta sudah macet 
15, anton s jangan lrt dan mrt kita belum_ada regulasinya karena pasti ada masalah perhubungan dgn mrt dan lrt jangan rai link kita belum_ada payung hukum yang kuat negeri ini masih terus menambah jumlah mobil padahal jakarta sudah macet 
16, jakarta sentris emang dikira semua orang perlu wajib tahu seluk beluk jakarta secara detail apa padahal tinggal jawab kalau dari daerah mana enakan naik mrt bus atau ojek online 
17,hal yang suka dari jakarta saat ini adalah transportasi seperti mrt dan lrt yang kini jadi wisata yang menarik untuk dikunjungi 
18, yang pasti jakarta byk tempat wisata yg keren seperti pantai ancol kota tua kampung kemang food festival taman bambu taman langsat dll apalagi skrg ada lrt mrt makin keren nih jakarta tak lupa byk jg makanan khas nya asinan betawi taoge goreng love it 
