,Tweet,Hasil Preprocessing,Positif,Negatif,Sentimen,Numbered Sentimen
0,MRT Jakarta pas pulang kerja vibesnya singapur bgt dah dan seneng bgt aku banya cewe cantik :))))),mrt jakarta pas pulang kerja vibesnya singapur bgt dah seneng bgt banya cewe cantik,3,0,positif,1
1,"@Srisury15517295 Rencana di Jakarta, di Pacific Place,  dulu waktu Burn the Stage movie, lumayan ga penuh2 amat, udh gitu bs pake MRT, ga ush nyetir macet2an??",rencana jakarta pacific place burn the stage movie lumayan tidak_penuh udh gitu bs pake mrt tidak_ush nyetir macet an,2,1,positif,1
2,@rinisetioo Untuk saat ini MRT Jakarta beroperasi normal.,mrt jakarta beroperasi normal,1,0,positif,1
3,Hati-hati ke MRT Jakarta tar pecah Lo.pecah berarti membeli.MRT Indonesia keramik asli buatan Tibet China yg ajib mahal getoh deh.megang MRT Indonesia kudu hati2 soalnya import pake container punya Jokowi.MRT lecet bisa pecah.,hati hati mrt jakarta tar pecah lo pecah membeli mrt indonesia keramik asli buatan tibet china ajib mahal getoh deh megang mrt indonesia kudu hati import pake container jokowi mrt lecet pecah,4,1,positif,1
4,"Selain #MudahkanHarimu, naik transportasi umum seperti KRL atau MRT Jakarta memiliki benefit lain loh. Yuk intip apa saja benefitnya!

#WIKABeton
#MudahkanHarimu https://t.co/0g5EvZr4Ir",transportasi krl mrt jakarta memiliki benefit loh yuk intip benefitnya,1,0,positif,1
5,"Ada Sate Kambing hingga Penyetan Surabaya di Jalur MRT Menelusuri jalur MRT di Jakarta, Anda akan menemukan banyak kuliner enak. Salah satunya restoran legendaris yang tak jauh dari stasiun MRT. https://t.co/PyEe78P49n",sate kambing penyetan surabaya jalur mrt menelusuri jalur mrt jakarta menemukan kuliner enak salah satunya restoran legendaris stasiun mrt,2,1,positif,1
6,"@annichadya MRT membantu inter Jakarta, kita kan bukan Jakarta :(",mrt membantu inter jakarta jakarta,1,0,positif,1
7,Alhamdulillah mamahajiyettie tiasa nyobian MRT @ Stasiun Blok M - MRT Jakarta https://t.co/koUDhsCzuB,alhamdulillah mamahajiyettie tiasa nyobian mrt stasiun blok m mrt jakarta,1,0,positif,1
8,"Ayo poo ada yg mau ke jakarta gak sama aku, aku pengen nyoba mrt beneran ini?? maaf ya alay tapi aku pengen benerann??",ayo poo jakarta tidak_sama pengen nyoba mrt beneran maaf ya alay pengen benerann,2,1,positif,1
9,"@unicornmnfs Jakarta sentris emang, dikira semua orang perlu wajib tahu seluk beluk Jakarta secara detail apa. Padahal tinggal jawab kalau dari daerah mana enakan naik MRT, bus atau ojek online.",jakarta sentris emang orang wajib seluk beluk jakarta detail tinggal daerah enakan mrt bus ojek online,1,0,positif,1
10,Hal yang suka dari jakarta saat ini adalah transportasi seperti MRT dan LRT yang kini jadi wisata yang menarik untuk dikunjungi. #jusbuahtinggiserat https://t.co/KEhbBHSXPw,suka jakarta transportasi mrt lrt wisata menarik dikunjungi,2,0,positif,1
11,"@LoveJuiceID Yang pasti Jakarta byk tempat wisata yg keren seperti pantai ancol, kota tua, kampung kemang food festival, taman bambu, taman langsat dll. apalagi skrg ada LRT & MRT makin keren nih Jakarta, tak lupa byk jg makanan khas-nya asinan betawi, taoge goreng.. Love it ??",jakarta byk wisata keren pantai ancol kota tua kampung kemang food festival taman bambu taman langsat dll skrg lrt mrt keren nih jakarta lupa byk jg makanan khas nya asinan betawi taoge goreng love it,5,1,positif,1
12,"@LoveJuiceID Yang paling aku sukai dari Jakarta adalah makanan khasnya ada Kerak telor, soto betawi, asinan betawi., taoge goreng dll, Tugu Monas, Masjid Istiqlal yang ter besar di ASEAN dan juga sekarang ada LRT, MRT dan Bus transjakarta
Apalagi sekarang banyak taman taman  di Jakarta.",sukai jakarta makanan khasnya kerak telor soto betawi asinan betawi taoge goreng dll tugu monas masjid istiqlal ter asean lrt mrt bus transjakarta taman taman jakarta,1,0,positif,1
13,@LoveJuiceID yg saya sukai dari jakarta saat ini adalah MRT nya yg baru diresmikan dan juga monasnya yg sudah kelihatan rapi dan bersih.,sukai jakarta mrt nya diresmikan monasnya rapi bersih,2,0,positif,1
14,"Semoga mrt jakarta yang skrg ini udah bagus semakin bagus kedepannya, jangan tbtb jadi kaya transjkt yg kadang suka gajelas bikin bingung penumpang nya teh kudu naonnnnn",semoga mrt jakarta skrg udah bagus bagus kedepannya tbtb kaya transjkt kadang suka gajelas bikin bingung penumpang nya teh kudu naonnnnn,5,0,positif,1
15,"Siti Badriah Bangga MRT Ada Di Jakarta
https://t.co/k39ldIwe3D https://t.co/yaTj6Xh5LH",siti badriah bangga mrt jakarta,1,0,positif,1
16,"Kalo lagi jalan2 seneng gitu jalan di trotoarnya bagus, banyak orang lain juga jalan, naik mrt, kaya keren banget, seneng di jakarta udah ada mrt, bentar lagi lrt, semoga bisa segera ke kota2 lain, biar lebih gampang ke jakarta kalo kaga pake mobil, biar gw kaga males ??",kalo jalan seneng gitu jalan trotoarnya bagus orang jalan mrt kaya keren banget seneng jakarta udah mrt bentar lrt semoga kota biar gampang jakarta kalo kaga pake mobil biar gw kaga males,7,1,positif,1
17,"Coba liat video lrt mrt di youtube, keren, pas gw ke jakarta naik mrt pas uji coba, bagus, trotoarnya rapi, dulu pas ke sekolah naik tj, trotoarnya lebih bagus dari sisi lain jakarta sih, cuma lebih rapi sekarang dan sampahnya juga lebih sedikit wkwkwk",coba liat video lrt mrt youtube keren pas gw jakarta mrt pas uji coba bagus trotoarnya rapi pas sekolah tj trotoarnya bagus sisi jakarta sih rapi sampahnya wkwkwk,8,0,positif,1
18,@LoveJuiceID Sekarang Jakarta makin maju dan transportasi makin lengkap apalagi sekarang punya MRT dan semakin gak mau kalah dari negara lain,jakarta maju transportasi lengkap mrt tidak_mau kalah negara,2,1,positif,1
